USER_ID,Video_ID,Please describe what you saw while watching the video.,What did you focus on while watching the video?,I felt like I was actually there in the environment of the video.,It seemed as though I actually took part in the action of the video.,It was as though my true location had shifted into the environment of the video.,I felt as though I was physically present in the environment of the video.,"On a scale of 0-10, 0 being how you felt coming in, 10 being that you want to stop, what is your discomfort level now?"
79A9GO,7,I saw a nature landscape,Mostly the trees and moving upward,3,2,2,3,0
79A9GO,20,The second floor of ECSW,I didn't really focus on anything,1,1,1,1,0
79A9GO,28,I saw field with a car driving down the road and propellers of helicopter,How the helicopter was moving,3,2,3,3,0
79A9GO,14,Ascending and descending an elevator in a glass building,the scenery of the elevator ,1,1,1,2,0
79A9GO,6,A dance company dancing,The large amount of people around me,1,1,1,2,0
79A9GO,26,a nature landscape with a waterfall,the waterfall and the feeling of descending,2,2,2,2,2
79A9GO,22,I saw a copy room with someone using the printer,I didn't really focus on anything,2,1,2,2,0
79A9GO,30,Navy airplanes flying over an area,Looking all around at the scenery,3,2,3,3,0
79A9GO,2,a mountain landscape,looking around and taking in the scenery,3,3,3,3,0
79A9GO,17,people at an amusement park waiting to ride a ride then a view of the city around the park,on the other people on the ride,4,4,3,3,0
FQF0XQ,0,7 elephants walking in the plains,the elephants,3,4,3,2,0
FQF0XQ,9,a car was racing another on a racing track,"The car in front, the surrounding, the sun",2,3,2,1,0
FQF0XQ,22,A man in the faculty office printing something,"The backpack, the man.
Tried to focus on the door window, but view was slowly rotating",3,2,4,3,0
FQF0XQ,18,a man picking up a card and a bird's eye view of a city,the horizon,3,1,2,2,0
FQF0XQ,7,"mountains, trees, houses, people",trees and houses,4,3,3,3,0
FQF0XQ,5,rhinos feeding in a very open area. lots of grass strewn on the ground,the baby rhino,4,3,3,2,0
FQF0XQ,30,4 pilot jets flying in the sky in a diamond formation,"the pilot in front of me, the surrounding jets, trees",4,4,3,3,2
FQF0XQ,27,"skyscrapers, new york city, large body of water",skyscrapers,4,5,5,4,0
FQF0XQ,19,"3 people in ecss 4.213, each working on something","the long metal rack above, orange pool noodles, people",3,2,4,5,1
FQF0XQ,3,a man talking in an accessory boutique,"the man, interior design, stairs",4,4,3,3,0
FQF0XQ,11,"a chariot race in a roman Colosseum, there were many people and a good amount of dust flying up ","4 white horses, 2 chariots in front",4,4,3,3,1
FQF0XQ,1,"sunset, small body of water in the distance, the grass was bending so there appears to be strong winds",the sun,3,3,3,2,0
FQF0XQ,13,"black spiral staircase, inside of an elevator going up, seems to be morning outside, renovation on the top floor of a fairly tall building.","stairs, downward view",3,2,3,2,3
FQF0XQ,24,cloudy day at the crossroads to the plinth of utd. possibly morning time based on the number of people,the people,3,4,3,3,1
FQF0XQ,25,"lots of mountaintops, some covered in snow, a river flowing between some of them",snow,3,2,2,2,1
LKJF0Q,0,The great plains and elephants,I focused on the two closer elephants.,4,2,3,2,0
LKJF0Q,25,Snowy mountain tops and mountains in the distance.,"There was a river somewhere, and also I focused on the distant mountains.",2,3,2,1,0
LKJF0Q,17,"at an amusement park, on a free fall ride, was interesting because I would never ride one, however, with vr it seemed ok.",the surroundings.,4,4,3,2,1
LKJF0Q,6,dance routine,the arrows telling me where to look.,3,1,2,1,0
LKJF0Q,22,"a room with a guy, printer, and a fridge.","The field of view was interesting, the fridge made me feel like a giant, however, everything else seemed normal. Also the camera rotating on its own was somewhat nauseating and annoying.",2,1,1,1,1
LKJF0Q,8,"what seemed like a tropical island, beautiful water, and a boat.",everything was a beautiful sight to see.,4,3,4,3,0
LKJF0Q,19,The room we are currently in,"I didn't notice there were a bunch of computers everywhere, also noticed the video rotated on its own.",4,2,3,5,0
LKJF0Q,23,"The front entrance of this building, and people walking around.",The people,3,2,4,3,0
LKJF0Q,27,"skydiving, the city seemed familiar although I can't remember which one it is","the buildings the skydiver was approaching, and looking directly downwards was slightly painful to the eye, unfocused or nauseating ",4,3,2,3,2
LKJF0Q,13,going up and down the elevator.,"nothing felt special, although the sun was bright.",4,3,4,3,1
LKJF0Q,1,A nice sunset,the colors in the sky changing as the sun set.,4,3,4,4,0
LKJF0Q,9,two cars racing and a whole bunch of statistics,"the statistics, also seemed like the dots on the map didn't move in respect to their driving",3,5,4,3,0
LKJF0Q,29,pacman,on how that game was played,5,3,4,4,0
LKJF0Q,3,"a spacious and expensive closet, I want one like that",the different type of clothing and shoes in there,4,2,4,1,0
LKJF0Q,11,gladiator style chariot race competition,hoping I would get 1st place,4,5,4,4,0
R9G91X,0,It was a grass land with few elephants moving around.,"The main focus was towards the elephants near me, specially the one came too near to me.",3,4,3,4,0
R9G91X,10,The video contains a lady walking on a forest. It also had a vehicle flying on top the me.I was also feeling that I am on a vehicle moving with the flying vehicle.,Mainly the lady walking in the forest.,4,4,4,4,0
R9G91X,20,It was 3rd floor of ECSN.,I was just checking minor details about the video.,2,2,2,2,0
R9G91X,2,I was on top of a mountain and looking at other mountains.,I was trying to look some more details of mountains near me.,4,3,4,3,0
R9G91X,12,I was on top of a car and car is driving on a street. I can see traffic and building around me. I also felt the speed difference of moving car.,I was checking out building around me. ,5,5,5,5,0
R9G91X,28,"I saw a drone taking video over the sky, to be specific video of a moving car.",I mainly focused on car and video being captured by drone.,3,3,3,3,0
R9G91X,29,"It was a pacman game. I can slightly feel the speed difference of moving pacman,",mainly the game being played.,3,5,4,5,0
R9G91X,21,It looks like an advertisement being played in VR world. I can see a man explaining something about the room. I also saw few Augmented Markers on the screen.,The man and the things he is showing.,4,3,4,3,0
R9G91X,24,It was street between ECSN and SUFC. There are students walking around the street.,I was mainly focused on students moving around.,3,2,3,3,0
R9G91X,4,There was a lobby and two students seating. At half of the video one student stood up and walked around the lobby.,I was just checking around the lobby and tried to find out which on campus part it was?,3,2,3,2,0
R9G91X,13,There was an elevator and it went up first and after reaching top floor it came back. I can feel I am being elevated by the elevator.,I was mainly looking outside the elevator mostly floors below me.,4,5,4,5,0
R9G91X,26,I was flying and watching a waterfall. Waterfall had a rainbow. There was also a sign of VR production house on the side.,I mainly focused on the waterfall.,4,4,4,4,0
R9G91X,6,I saw few people dancing around me.,I tried to look almost all of them to check their dance moves.,3,3,3,3,0
R9G91X,7,I was flying over a country side.I saw two houses. The second house was not so clear.,"I was trying to see structure of the house, so I focus mostly on the houses.",4,3,4,3,2
R9G91X,18,There was drone being lifted on the sky. I can see lot of tall building around me.,I was focusing on buildings around me.,4,5,4,5,3
LFY674,0,Elephants walking in a field,"Two elephants came close to the camera, one of the elephants that came close was driven off (by the recorder of the video?)",5,4,4,3,0
LFY674,6,"Several dancers performing for a 360 degree video recording. There were four groups, spaced at 90 degrees around the room.","There were green arrows showing where to look at the beginning, I did so for most of the time the arrows were there. However, I was distracted by the shadow of dancers dancing outside of the field-of-view. I think I looked in a direction that was unintended by the makers of the video: the dancers stopped dancing and I had to turn around (180 degrees) to see dancing again.",3,2,3,2,1
LFY674,23,Students walking near the entrance to the UTD ECSS building.,There wasn't anything to focus on.,3,1,2,1,1
LFY674,28,A drone(?) trailing a car in the countryside (farms) from the perspective of the drone.,"At first, I saw what I think were the propellers of the drone on the edge of my field of view, so I looked around puzzled about what they were. After that, I mostly just looked around at the area the drone was flying in.",5,2,4,3,0
LFY674,19,"The lab for the experiment, recorded at some earlier time. Students were working individually on their projects.","There wasn't anything to look at, I spun around in the chair trying to figure out whether a full revolution in AR corresponded to a full revolution in the chair. I noticed a jitter in the video (it was also present in the UTD building video)",2,1,2,1,1
LFY674,2,"A mostly-static video, taken in the mountains. I was only able to confirm that it was in fact a video because of clouds in front of the sun.","I was looking to see if there was anything moving around. There was not, but the environment was still beautiful.",4,4,4,4,0
LFY674,13,The video was in a glass elevator going up in a building with a contemporary style.,I mostly just looked around.,4,3,4,4,1
LFY674,11,Four-horse chariots (is that the correct term?) in a Colosseum. It seemed like either a race or some other competition that I'm unfamiliar with. I don't think it was a race because it seemed like too small a space for the horses to engage in a proper race. The video was recorded from the point of view of a racer/competitor with four white horses.,I looked around at the other racers/competitors.,4,4,4,4,0
LFY674,7,A bird's eye view flying over a mountainous countryside in Autumn.,I looked everywhere.,4,3,4,4,0
LFY674,9,"A video of a car race, taken from the perspective of the driver. There was an overlay that I'm sure was added in post-processing showing the map, the speed of the car and lap number along with other similar information.",I mostly looked ahead of the car: it felt wrong to look behind the car.,4,4,4,4,0
LFY674,30,"US Navy planes flying in formation, making a loop, taken from the perspective of a pilot. In the backseat(?), the co-pilot(?) was taking his own video.","At first, I was curious about the co-pilot(?), but afterwards I just looked around.",4,3,4,4,1
LFY674,4,"At the start of the video, two students(?) were sitting down (in UTD ECSW?), one got up, wandered around a bit and checked their smartphone.","Mostly, the student that was walking around. I checked behind myself to see if anything else was happening (nothing else was happening).",3,2,3,2,1
LFY674,18,"A man flew a drone to the top of a building labelled ""Sailing Tower"", from the perspective of the drone. At the ground level, there seemed to be foreign text of unknown language. The building was in a city, but stood as the largest building in the area.","Initially, I focused on what was happening on the ground. Afterwards, I looked around.",3,3,3,3,1
LFY674,25,"A flight around the peak of a snowy mountain surrounded by other snowy mountains. There is a large watermark(?) in the ""back"" of the video, which honestly seems as though it's intended as part of a title.","At first, the logo, which bothered me immensely. Eventually, I was able to focus on the mountain.",2,2,3,2,1
LFY674,22,A mailroom at a university(?) (UTD?) where a student(?) was operating or attempting to operate a printer.,The student,2,1,2,2,1
OFE3NS,0,"I saw many elephants walking on a field full of grass, there were mountains in the distance, the sky is blue.","the video quality(ex: the pixel), the sky, the ground, the elephants, and the environment.",3,3,4,4,0
OFE3NS,19,a not very clear screen with three people sitting in a room.,"the environment, the characters, and the screen quality.",3,3,4,3,0
OFE3NS,26,a waterfall in a beautiful valley with a rainbow and a word title(I forgot what the words are).,"my location, the environment,  and the falling water.",4,4,4,4,0
OFE3NS,13,"the process of being in an elevator. it was in a building. while I go up with the elevator, I see stairs, windows, sunlight, etc.",the process of going up and down.,4,4,4,4,0
OFE3NS,1,"I saw big wind blowing through a plain of grass. there were clouds in the sky, but the movement of the clouds looked weird. it was moving back and forth.",the wind.,3,3,2,2,0
OFE3NS,4,"I saw two man sitting in front a big window, and then the man in black jacket stood up and walked back and forth. there should be a chair at where I stay, but the shape of the chair was distorted. I also see the color and the existence of the black-jacked man change when he pass an ""invisible line"", as if there was a secret door, things which went passed it would slightly change. ",the man in the black jacket and the weird change.,3,3,3,2,0
OFE3NS,8,a beach and a forest and mountains.,"my moving position, the waves, and the vague trees.",3,3,3,3,0
OFE3NS,12,"a busy urban city. there were cars on the road and shops on the road side. the weird thing was that whenever I turned to the front and back, the screen was fine; but whenever I turned to the side, the screen started to shake, which made me a little dizzy.","the dizziness, the weird shaped car, the continuous shakes.",3,3,3,3,0
OFE3NS,10,"I saw a girl in walking in the woods, her head kept disappearing.","the environment, the screen quality, and wandering if this is a horror movie.",3,3,3,3,0
OFE3NS,28,"a remote helicopter following a car in the farm field. the crops on the road side were very vague, and the screen was not moving continuously.",the quality of the screen and the dizziness while moving.,3,4,3,4,0
OFE3NS,18,a remote helicopter flying up and down in a urban city.,the process of going up and down,4,4,4,4,0
OFE3NS,5,"a field with red land, a little pond, and several rhinos.",the rhinos.,3,3,3,3,0
OFE3NS,22,"a man with a printer and some shelves in a room. the screen was rotating by itself, and it's slightly shaking.",the quality of the screen,3,3,3,3,0
OFE3NS,30,four US Navy jet planes flying in the sky.,the upside down and the dizziness and the feeling of almost throwing up.,4,4,4,4,0
OFE3NS,24,the road from the center fountain to CS3 in UTD campus,the people walking around and the environment.,3,3,3,3,0
ILEBGM,0,A line of approaching elephants. One of them reacts aggressively when it comes close.,"The elephants, primarily, though I also concentrated on the texture of the grass and the sky.",4,3,3,3,0
ILEBGM,5,"A(n extended) family of rhino in a flat, earthy environment. Hay and dung scattered bout. A pond in the further reach.","The rhinos, primarily, particularly the ones showing the greatest movement. Also the young rhino. Also occasionally the environmental details.",4,3,3,3,0
ILEBGM,25,A fly over an icy mountain range. I did notice a couple of people walking along the ridge line.,"Primarily the mountainous terrain, with the ice being the secondarily most obvious feature. Also noticed the ""AirPano A VR Production"" text that seemed to orbit around the environment.",3,4,4,3,0
ILEBGM,29,"Pac-Man! First, started out flying towards the seeming 2D game board. But on closer approach saw that it was a 3D game board and that I would be placed into the environment.","Initially, the ghosts. But then the rest of the maze, including the text asking if I felt dizzy or to go to certain locations.",4,4,4,4,1
ILEBGM,3,"A seemingly large room filled with women's clothing, accessories, and a male host. A couple of staircases to a ""mezzanine"" of sorts led up both sides.","The person, at first, but then panned around the whole room, looking at the various objects and details.",3,3,3,3,1
ILEBGM,17,"At an amusement park, right ""in front"" of a group of ladies on a quickly rising platform that rose quite high into the air. The duration of the video was primarily at that height, where much of the park and the surrounding skyline can be seen.","Initially, the reaction of the riders as they rose up. After that, primarily the surrounding environment.",2,3,3,2,1
ILEBGM,7,"A ""flyover"" of a beautiful mountainous forest (it actually felt more like a ski lift). ","Typically the trees, observing their differences and color. Also the terrain, streets, and the occasional sight of vehicles.",3,3,3,3,1
ILEBGM,21,"A plush high-rise apartment, typically the living and kitchen areas. A male host. The scaling of the furniture did seem a bit off.","Typically the furniture and appliances inside, and also the city outside.",2,2,2,2,1
ILEBGM,10,Walking along with a woman in a forested path. I noticed some large appliance following around from above. Perhaps recording equipment? Unfortunately there were some errors/artifacts with the rendering of the woman at times.,"The walking woman and the forested path, at first. But then the equipment overhead, as I kept trying to ascertain its nature.",1,1,1,1,1
ILEBGM,14,"Traveling on the top? of an elevator. First, moving up. Doors open. Doors close. Then move down.","At first, the inside environment of the elevator. Then, rooms as I passed by them. I couldn't ascertain much, though occasionally I would see pictures. I did notice the outside, though it was quite fractured by windows/glass.",2,3,3,3,2
ILEBGM,12,"Riding on top of a large SUV and moving through a large downtown area (New York?). Plenty of moving video, and other vehicles to see, with occasional people.","The vehicle itself, the other vehicles around me, the signs, and the buildings.",3,3,4,3,2
ILEBGM,28,"Flying on top of a drone, following a silver car. The environment appeared to be farmland with a winding road.","The drone, the car, and the field around. I noticed I was actually leaning forward due to the visual ""momentum"" of the drone.",4,4,3,4,3
ILEBGM,2,"On top of a flat, barren hill in the midst of mountains. Similar to something I've seen in SteamVR Lab. I so no people, animals, or moving objects.","The mountainous terrain, the texture of the hillside, and the sky. Not much else to see.",3,3,4,4,3
ILEBGM,19,"I was seemingly on top of a desk, in what appeared to be an older version of this very room. Three people were sitting. They seemed frozen in place, at first, but then I noticed occasional movements from each of them (particularly the hands).",Primarily the people and tried to ascertain their movements.,2,2,2,2,3
ILEBGM,23,The entrance to ECS South at UTD. Saw people (primarily students) entering and milling about the area. It seemed they were dressed in primarily warm clothing.,"Primarily the people, though I also took note of signs and I appeared to see outside the building.",3,3,3,3,3
ANPIUN,0,Elephants approaching me on a wild field,Elephants,3,5,3,4,0
ANPIUN,27,Skydiving,Buildings below me,4,4,3,5,0
ANPIUN,25,Mountains covered by snow,mountains we can see as background,1,1,3,3,0
ANPIUN,4,university hallway,A guy walking around,5,5,4,5,0
ANPIUN,24,university campus - outside,people walking around,5,5,5,5,1
ANPIUN,11,horse race,the opponent,4,5,3,3,0
ANPIUN,30,navy aircraft,other battle aircraft,4,4,2,4,2
ANPIUN,1,sunset in wild mountains,sunset,4,5,3,4,0
ANPIUN,20,university campus hallway,ground,3,1,3,4,1
ANPIUN,9,car race in a circuit,the opponent,2,4,3,4,3
ANPIUN,8,beautiful ocean,waves and a ship,3,5,4,3,0
ANPIUN,22,A copy room ,A guy making copies,3,2,3,3,1
ANPIUN,13,Moving elevator ,things appearing in each floor,4,4,3,4,0
ANPIUN,18,A town view from a drone,traffic,5,5,4,5,0
ANPIUN,6,Dance,dancing people,4,5,4,4,0
1CSD3Y,0,"Grass, mountains, elephants",The elephant that walk up close to me,1,1,1,1,0
1CSD3Y,18,"A city with buildings, cars, people
the sky","all the buildings, mainly the one right next to me",1,1,1,1,2
1CSD3Y,13,"Elevators, windows, furnature","the rooms in each floor, looking to see what they had",1,1,1,1,1
1CSD3Y,27,"Plane, a city, buildings, and people jumping of a plane","the other person that jump of a plane, and the buildings",1,1,1,1,2
1CSD3Y,5,"Rhinos, trees, grass","The rhinos, the ones that were moving",1,1,1,1,0
1CSD3Y,23,Students talking and walking,the students that were walking,1,1,1,1,0
1CSD3Y,8,"Island, rocks, beach, boat, trees","The beach, trying to find some animals",1,1,1,1,1
1CSD3Y,29,"Pacman maze, ghost",The ghost that were chasing me,2,2,1,1,1
1CSD3Y,4,"Students, chairs, table",The student that was walking,1,1,1,1,0
1CSD3Y,12,"City, New York
People, cars, buildings","Everything, that cars, the buildings, and the people",1,1,1,1,0
1CSD3Y,26,"Waterfall, trees, mountains",The waterfall and the trees,1,1,1,1,0
1CSD3Y,10,"Trees, a woman","The trees, looking at the environment",1,1,1,1,0
1CSD3Y,19,"A room with students, computers, desks, chairs","Everything, looking all around me to see what was in the room",1,1,1,1,0
1CSD3Y,22,"Student, printer, desk, window",the VR camera which was rotating by itself,1,1,1,1,2
1CSD3Y,1,"Land, grass, sunset, sky","Everything, just looking at the environment",1,1,1,1,0
UBCLRB,0,"I was in a plain, observing a pack of elephants walking towards me.",The elephant that approached me the closest.,5,4,3,3,0
UBCLRB,6,People dancing. The image was kinda blurry.,The first guy and where pointed. It then shift to the entire set of dancers around me.,4,3,3,4,1
UBCLRB,19,"Three  researchers working on the computers, which I believe is located in the room as we are currently in.",The three researchers.,4,3,5,4,2
UBCLRB,17,I was an amusement park ride. ,"The people riding with me, and then the city-scape once we reached the peak of the ride.",4,4,3,3,1
UBCLRB,3,"I was in a pink room, that had a lot of jewelry and other fashionable items. There was a guy talking to me, though he was very blurry and i could not see him too well.",The room.,4,3,2,2,2
UBCLRB,1,I saw a sunset into a mountain in an arid area. ,The environment.,5,3,3,3,1
UBCLRB,25,I was flying over a snowy mountain range.,"The largest peak before me, and the way the snow texture the mountain.",5,4,3,4,0
UBCLRB,21,An apartment showcase. I has someone showing me around an apartment describing its features. It was a plain apartment with a nice view of a city-scape. The camera automatically panned for this video., The apartment.,4,3,3,4,2
UBCLRB,27,Sky diving along a beach.,"The other skydiver, and then the approaching buildings.",5,4,3,4,1
UBCLRB,24,I was standing outside the founders building intersection as students walked by.,The students walking by.,5,2,3,4,0
UBCLRB,11,"CGI Chariot Race. I was the only one with the white horses, but i was trailing behind three other racers.",My white horses and the track.,4,3,3,3,1
UBCLRB,13,"I was going up a glass elevator, in a small business office.","The stairs I could've climbed and the office details, like its rooms and paintings.",4,3,2,3,0
UBCLRB,9,"I was in a race car going against a red car. There was some holographic displayed instrument, noting the details of the car like its speed, direction, etc.  ","The other car, and the instruments. Also the temperature indicator.",4,4,3,4,0
UBCLRB,30,The blue angels flying in a close formation and preforming a loop in that formation.,The other planes and how close they were.,5,2,4,4,0
UBCLRB,8,"Flying across a tropical shoreline, there was a yacht out on the blue ocean and alot of ragged rocks around the beach.","The waves crashing on the jagged rock, and the landscapes.",5,2,3,3,0
VDRFDG,0,saw vast green fields with approx 6 7 elephants walking ,how fast are those elephants walking towards me,2,2,2,2,0
VDRFDG,28,green fields and a car driving through those ,the road ,2,3,2,2,0
VDRFDG,25,"mountains, valleys and snow",felt like I was standing on the top of the moutains,3,3,3,3,0
VDRFDG,5,rhinos and barren fields,"rhinos, particularly the ones those were closer to me",3,3,3,3,0
VDRFDG,9,racing track and the front of the car I was driving,the direction and the curves of the road,3,4,3,3,0
VDRFDG,14,side of the building and elevator,the speed of the elevator. specially while coming down,4,4,3,4,0
VDRFDG,17,"hung at the top of a roller coaster ride, I could see the people who were standing down, the other rides in the amusement park and the fellow passengers on the roller coaster ride.",height of the ride,3,4,3,3,0
VDRFDG,30,sky and planes next to me and also the helmet of the fellow pilot,the direction in which I was flying to ,3,3,3,3,0
VDRFDG,11,it was a scene from the ancient times. Horses and horse carriages. People cheering around. ,what direction the horses were moving. Also I was concerned if some person would be hit by my horse carriage ,3,4,3,3,0
VDRFDG,4,two persons sitting and having a conversation on one of the top floors of a building ,surroundings and what was outside the building ,3,4,4,4,0
VDRFDG,21,a person was giving a house or office tour on a high rise building,outside the windows and also the beautiful furniture of the house,3,4,4,4,0
VDRFDG,8,"flight tour of a beautiful beach, blue water, white sand and some rocks and trees. ",blue water,3,4,3,3,0
VDRFDG,1,"beautiful orange sunset, mountains on one side and plane ground on the other ",the sun,3,3,4,4,0
VDRFDG,23,entrance of a building and students rushing in an out. There is a wall next to me with some pictures,the students around me,4,4,4,4,0
VDRFDG,20,i am sitting on a chair on a corridor. There are stairs on one side and some banners on the other side. Some people are sitting on the far right corner. ,banners and stairs in my surroundings ,3,4,3,3,0
S9G44K,0,"A group of elephants that were walking, one of them came close.. too close and I think wanted to touch me. ",The elephant that came closer.,4,4,3,4,0
S9G44K,19,"A room with some students and some desks, it looks like this room. ","on the position that I was, I imagine that I was a camera or something. ",5,3,4,3,0
S9G44K,6,"A group of dancers, organized in a circle surrounding me. ","Difficult to describe, they were moving almost at the same time. And they were everywhere. ",3,3,2,4,0
S9G44K,17,"An amusement park from one of the attractions, very high","First, in the park and how high I was. Then I try to focus in the people that was riding this attraction to try to avoid the sensation of vertigo, they were at my same level. ",4,4,4,3,0
S9G44K,13,"Inside an elevator in movement, with walls of glass so I can see true them. A side has some stairs, other it was like a hall, and I think the other was just outside. Also the buttons to indicate the floor. ","I focus in the stairs first, then on the buttons of the elevator, and try to find the door. ",3,3,3,2,0
S9G44K,10,"A woman walking in the woods. Trees with no leaves. No color in this video. A trail were the woman was walking. And in the ""sky"" something I think It was the camera. ","First I focus on the woman walking, then the trees and the trail, then I notice something in my head and I continue watching that object. ",2,2,3,2,0
S9G44K,3,"I think it was a giant closet, with some clothes, hats, jewelry. It has two levels, and stairs to go up. Also, there was a man that seemed to give a description of the place.  ",In the man who seemed to describe the place and point to some places were a look briefly. ,4,5,3,4,0
S9G44K,2,"A landscape, mountains and were I was standing there were some rocks. ","The mountains at distance, but huge. ",4,4,4,4,0
S9G44K,27,"An airplane, then a man jumped, and looks like I jumped too. Then I saw another man that jumped. A city in the beach, some buildings, and then how fast I was descending. Then the buildings were closer. ","First in the men that jumped, then I sow how high I was and how small things looked. Then in a building were I think I was going to crash. ",4,4,4,4,0
S9G44K,25,"Mountains with snow from the air( like I were flying), two little men walking in the mountain with snow. And a tittle that said something ""Airproductions"" ( not sure)","In the big mountain with snow, then the tile floating. ",3,2,4,2,0
S9G44K,24,People walking at UTD campus. ,"On the people, they moved to avoid contact with me. ",4,4,4,4,0
S9G44K,7,"A landscape from the air. Mountains with green trees( forest), some little roads, some houses. ",In the forest and how the trees looked from my perspective. And how many variations of green were there. ,3,2,4,2,0
S9G44K,11,"A roman race of horses. Other competitors, my 4 horses, and the horses of others. The crowds. Dust. Some soldiers. ",In my 4 white horses and how fast they were doing. ,4,4,4,4,0
S9G44K,29,"A game of pac-man. With colors and the ghosts. And some instructions were to look, left or right. ",The instructions and the questions on the walls of the game. ,4,3,3,4,0
S9G44K,22,"A room with a copy machine, a man making copies and that walk around founding something. A microwave on a table. ","The man, just wanted to know what he was doing. ",3,2,4,3,0
88XYOT,0,Several Elephants in a plane,The two elephants closes to me,3,3,2,1,0
88XYOT,29,I was in pacman game,On the coins and other game objects,4,4,3,3,3
88XYOT,2,I saw mountains,All around me,3,1,2,2,0
88XYOT,7,I was flying over a forest between mountain,nothing specific,3,1,3,2,0
88XYOT,24,I was in the middle of campus looking at people passing by,all people around me,3,1,3,3,3
88XYOT,14,I was in an elevator in a tower and saw different floors,Glass part of the elevator,2,1,2,2,0
88XYOT,22,I saw a person who was using a printer ,the person,3,1,2,2,0
88XYOT,5,I saw several rhinos,On the rhinos mostly,3,3,3,3,0
88XYOT,18,I saw a city from a drone view,Mostly streets and buildings,3,3,3,3,4
88XYOT,28,I saw a car was driving on a road from a drone view,Mostly the car,3,2,3,2,5
88XYOT,3,I saw a guy was explaining something about a room,The guy,4,4,4,4,0
88XYOT,10,A woman walking between woods,The woman,2,2,1,2,1
88XYOT,12,I was in New York streets on top of a car,All surroundings and buildings,2,1,1,2,0
88XYOT,26,a giant waterfall,waterfall,3,1,2,2,0
88XYOT,20,I was inside a building,Nothing specific,1,1,1,1,3
